"","Player","Age","Tm","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS/48","MVP","Year"
"1","Bob Pettit","23","STL","35.0","35.0","81","0.432","72","38.8","25.7","16.2","2.6","","",".429","",".736","13.8",".236",1,1956
"2","Paul Arizin","27","PHW","21.0","21.0","81","0.259","72","37.8","24.2","7.5","2.6","","",".448","",".810","12.2",".214",0,1956
"3","Bob Cousy","27","BOS","10.0","10.0","81","0.123","72","38.4","18.8","6.8","8.9","","",".360","",".844","6.8",".119",0,1956
"4","Mel Hutchins","27","FTW","9.0","9.0","81","0.111","66","33.9","12.0","7.5","2.7","","",".425","",".643","4.4",".095",0,1956
"5","Dolph Schayes","27","SYR","2.0","2.0","81","0.025","72","35.0","20.4","12.4","2.8","","",".387","",".858","11.8",".225",0,1956
"6","Bill Sharman","29","BOS","2.0","2.0","81","0.025","72","37.5","19.9","3.6","4.7","","",".438","",".867","8.8",".157",0,1956
"7","Tom Gola","23","PHW","1.0","1.0","81","0.012","68","34.5","10.8","9.1","5.9","","",".412","",".733","6.5",".132",0,1956
"8","Maurice Stokes","22","ROC","1.0","1.0","81","0.012","67","34.7","16.8","16.3","4.9","","",".354","",".714","6.0",".125",0,1956
"9","Bob Cousy","28","BOS","31.0","31.0","85","0.365","64","36.9","20.6","4.8","7.5","","",".378","",".821","8.8",".178",1,1957
"10","Bob Pettit","24","STL","20.0","20.0","85","0.235","71","35.1","24.7","14.6","1.9","","",".415","",".773","11.6",".224",0,1957
"11","Paul Arizin","28","PHW","10.0","10.0","85","0.118","71","39.0","25.6","7.9","2.1","","",".422","",".829","12.3",".213",0,1957
"12","George Yardley","28","FTW","7.0","7.0","85","0.082","72","37.4","21.5","10.5","2.0","","",".410","",".787","10.0",".179",0,1957
"13","Dolph Schayes","28","SYR","5.0","5.0","85","0.059","72","39.6","22.5","14.0","3.2","","",".379","",".904","12.5",".211",0,1957
"14","Maurice Stokes","23","ROC","5.0","5.0","85","0.059","72","38.3","15.6","17.4","4.6","","",".347","",".665","5.5",".096",0,1957
"15","Bill Russell","22","BOS","2.0","2.0","85","0.024","48","35.3","14.7","19.6","1.8","","",".427","",".492","6.2",".176",0,1957
