"","Player","Age","Tm","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS/48","MVP","Year","Set"
"2","Paul Arizin","27","PHW","21.0","21.0","81","0.259","72","37.8","24.2","7.5","2.6","","",".448","",".810","12.2",".214",0,1956,151
"3","Bob Cousy","27","BOS","10.0","10.0","81","0.123","72","38.4","18.8","6.8","8.9","","",".360","",".844","6.8",".119",0,1956,87
"4","Mel Hutchins","27","FTW","9.0","9.0","81","0.111","66","33.9","12.0","7.5","2.7","","",".425","",".643","4.4",".095",0,1956,120
"8","Maurice Stokes","22","ROC","1.0","1.0","81","0.012","67","34.7","16.8","16.3","4.9","","",".354","",".714","6.0",".125",0,1956,385
"10","Bob Pettit","24","STL","20.0","20.0","85","0.235","71","35.1","24.7","14.6","1.9","","",".415","",".773","11.6",".224",0,1957,125
"12","George Yardley","28","FTW","7.0","7.0","85","0.082","72","37.4","21.5","10.5","2.0","","",".410","",".787","10.0",".179",0,1957,241
"17","Harry Gallatin","29","NYK","1.0","1.0","85","0.012","72","27.0","15.0","10.1","1.2","","",".406","",".800","8.1",".199",0,1957,99
"18","Mel Hutchins","28","FTW","1.0","1.0","85","0.012","72","36.8","12.4","7.9","2.9","","",".387","",".738","2.8",".050",0,1957,246
"22","Dolph Schayes","29","SYR","25.0","198.0","400","0.495","72","40.5","24.9","14.2","3.1","","",".398","",".904","13.7",".226",0,1958,34
"23","George Yardley","29","DET","12.0","120.0","400","0.300","72","39.5","27.8","10.7","1.3","","",".414","",".811","12.3",".208",0,1958,358
"25","Maurice Stokes","24","CIN","2.0","28.0","400","0.070","63","39.0","16.9","18.1","6.4","","",".351","",".715","4.5",".088",0,1958,130
"26","Bob Cousy","29","BOS","2.0","11.0","400","0.028","65","34.2","18.0","5.0","7.1","","",".353","",".850","5.4",".116",0,1958,383
