"","Player","MVP.Chance"
"197","Rudy Gobert",0.268154581452387
"581","Russell Westbrook",0.261452529529869
"219","James Harden",0.215311534337931
"551","Karl-Anthony Towns",0.175618662733412
"296","Nikola Jokic",0.167587579680594
"332","Kawhi Leonard",0.150116369353787
"149","Kevin Durant",0.131954853720118
"560","Jonas Valanciunas",0.0995814110098534
"125","Stephen Curry",0.0689552665265501
"83","Jimmy Butler",0.0658370057836167
"127","Anthony Davis",0.0635168435021553
"305","DeAndre Jordan",0.0524772823027728
"20","Giannis Antetokounmpo",0.0468318006557029
"444","Chris Paul",0.0428792503504647
"309","Enes Kanter",0.0371318856123947
"585","Hassan Whiteside",0.0366297690021691
"538","Isaiah Thomas",0.0361303002534808
"346","Kevin Love",0.024413734922947
"461","Otto Porter",0.0154578412252692
"280","LeBron James",0.0151244325710343
"389","Greg Monroe",0.0150656865825248
"260","Dwight Howard",0.0132539217119787
"235","Gordon Hayward",0.0126972620988719
"186","Pau Gasol",0.0124217895109703
"164","Kenneth Faried",0.0118523276954655
"339","Damian Lillard",0.0102699411102752
"115","DeMarcus Cousins",0.00988685587447637
"556","Myles Turner",0.0098857823210235
"595","Lou Williams",0.00935978224894703
"110","Mike Conley",0.00886435627686552
"213","JaMychal Green",0.008700613140455
"99","Tyson Chandler",0.00686041921904169
"289","Amir Johnson",0.00657842700350633
"432","Kelly Olynyk",0.00612997832411207
"334","Jon Leuer",0.00592534568606102
"415","Nerlens Noel",0.00590506283379691
"385","Patty Mills",0.00580170986948989
"330","Alex Len",0.0056618924731428
"383","C.J. Miles",0.00554182400986572
"9","LaMarcus Aldridge",0.00553535578255779
"211","Draymond Green",0.00479675515660283
"533","Jeff Teague",0.00464981693076427
"311","Michael Kidd-Gilchrist",0.00445373008012678
"256","Richaun Holmes",0.00416672071772805
"203","Marcin Gortat",0.00415021226153227
"90","Clint Capela",0.00402431860390527
"136","DeMar DeRozan",0.00399975504273831
"215","Blake Griffin",0.00375400497023999
"227","Tobias Harris",0.00369362917006799
"268","Andre Iguodala",0.00364483712954306
"275","Kyrie Irving",0.00355112741538542
"185","Marc Gasol",0.00354057091174417
"473","Zach Randolph",0.00347020792297594
"598","Marvin Williams",0.00345017620213197
"388","Nikola Mirotic",0.00328667608513205
"403","Larry Nance Jr.",0.00325628096664278
"347","Kyle Lowry",0.00309604001003648
"265","Serge Ibaka",0.00304260354013654
"180","Danilo Gallinari",0.00295331554282814
"190","Paul George",0.00285757513073496
"139","Gorgui Dieng",0.00269651014000125
"269","Ersan Ilyasova",0.00253311494780183
"420","Dirk Nowitzki",0.00244898897493708
"258","Al Horford",0.00244533264663439
"292","Joe Johnson",0.00240995576877366
"122","Jae Crowder",0.00235879841275311
"19","Ryan Anderson",0.00234879353572454
"453","Mason Plumlee",0.00231622499069197
"143","Andre Drummond",0.0022768260683882
"273","Joe Ingles",0.00227504716076605
"254","Rondae Hollis-Jefferson",0.00225840441692345
"46","Marco Belinelli",0.002209045189655
"397","Timofey Mozgov",0.00210170538672902
"362","C.J. McCollum",0.00206688052984308
"615","Cody Zeller",0.00202420774597389
"568","Nikola Vucevic",0.0019883640426631
"314","Kyle Korver",0.00196762214866375
"66","Trevor Booker",0.00191186560761374
"193","Taj Gibson",0.00187950977141758
"572","Kemba Walker",0.00185243258475909
"71","Malcolm Brogdon",0.0016934838830086
"155","Joel Embiid",0.00167390860451628
"544","Tristan Thompson",0.00166151407503963
"156","James Ennis",0.00165473142494449
"370","Doug McDermott",0.00164535141048144
"387","Paul Millsap",0.00164289140566735
"344","Brook Lopez",0.00161226274097355
"58","Bojan Bogdanovic",0.00157568512214371
"491","Ricky Rubio",0.00157200045729282
"401","Jamal Murray",0.00156828734334507
"474","J.J. Redick",0.00153338762729437
"153","Wayne Ellington",0.00152964781199135
"436","Kelly Oubre",0.00152225503938741
"43","Bradley Beal",0.00150250380758557
"5","Steven Adams",0.00150143818256194
"378","Jodie Meeks",0.00143133350056603
"573","John Wall",0.00137092358640967
"543","Klay Thompson",0.00131795365677767
"92","Vince Carter",0.00131618184227317
"140","Spencer Dinwiddie",0.00131530201146569
"481","Glenn Robinson",0.00128943550809524
"487","Terrence Ross",0.00127495722627716
"472","Julius Randle",0.00127119802455599
"291","James Johnson",0.00125622232296234
"53","Patrick Beverley",0.00124041089750497
"345","Robin Lopez",0.00121679508497374
"142","Goran Dragic",0.00119138853197029
"34","Matt Barnes",0.00116506657298768
"539","Lance Thomas",0.0011524977049453
"294","Tyler Johnson",0.0011511378394602
"552","P.J. Tucker",0.00114620898753922
"392","Markieff Morris",0.00113804595045827
"169","Raymond Felton",0.00106248720527754
"210","Danny Green",0.00105498378697221
"283","Richard Jefferson",0.00102135117392779
"32","J.J. Barea",0.00101740308292916
"363","T.J. McConnell",0.000981082610244951
"443","Patrick Patterson",0.000938889314133692
"91","DeMarre Carroll",0.000924334199157761
"612","Nick Young",0.000910972240738698
"181","Langston Galloway",0.000906950866529277
"57","Eric Bledsoe",0.00089286818799889
"218","Tim Hardaway",0.000876410627981894
"547","Anthony Tolliver",0.000868376549642629
"244","Buddy Hield",0.000863697071173012
"124","Seth Curry",0.000854966442902883
"214","Jeff Green",0.000851883017648336
"340","Jeremy Lin",0.000851751195934268
"307","Cory Joseph",0.000831369283214821
"173","Dorian Finney-Smith",0.000802245213011006
"248","George Hill",0.000799660829075812
"119","Allen Crabbe",0.000795055612016262
"54","Bismack Biyombo",0.000789263244924554
"326","Ty Lawson",0.000784355876027699
"421","Jusuf Nurkic",0.000778243430569486
"502","Thabo Sefolosha",0.000752027020946765
"463","Kristaps Porzingis",0.000751735342265272
"236","Gerald Henderson",0.00072604998289249
"39","Nicolas Batum",0.000715196512056613
"230","Andrew Harrison",0.000702828103854587
"313","Brandon Knight",0.000655907249446204
"166","Derrick Favors",0.000634204701171634
"312","Sean Kilpatrick",0.000632591384727191
"40","Jerryd Bayless",0.000628491076172921
"335","Caris LeVert",0.000624072308698146
"177","Tim Frazier",0.000597361150392535
"358","Luc Mbah a Moute",0.000553554300672247
"21","Carmelo Anthony",0.000521708875514571
"514","Ish Smith",0.00051994513788731
"118","Robert Covington",0.000499409551536187
"285","Brandon Jennings",0.000482719763608557
"144","Jared Dudley",0.000466606183704894
"308","Frank Kaminsky",0.00046499576873697
"497","Dario Saric",0.000459787973144906
"328","Courtney Lee",0.000450966546963754
"575","T.J. Warren",0.000450332838050548
"201","Aaron Gordon",0.000447303287178795
"589","Deron Williams",0.000446578545601972
"414","Joakim Noah",0.000438384001510692
"301","Terrence Jones",0.000432910016557812
"101","Marquese Chriss",0.000431448731090252
"23","Trevor Ariza",0.000428699562000228
"390","E'Twaun Moore",0.000421828977886761
"555","Evan Turner",0.00040487663519885
"570","Dwyane Wade",0.000400378169887331
"108","Darren Collison",0.000395153252236887
"37","Will Barton",0.000391040953670902
"449","Elfrid Payton",0.000386477129945296
"6","Arron Afflalo",0.000385818747152958
"100","Wilson Chandler",0.000377811102727363
"257","Rodney Hood",0.000369626039893664
"430","Jahlil Okafor",0.000361888497950569
"509","Iman Shumpert",0.000357931007356804
"517","Tony Snell",0.000351736399983388
"495","Domantas Sabonis",0.000344585833037703
"170","Yogi Ferrell",0.000328721650493486
"33","Harrison Barnes",0.000323966110603006
"499","Dennis Schroder",0.000310336772863305
"120","Jamal Crawford",0.000303070222313181
"202","Eric Gordon",0.000294901895305982
"279","Reggie Jackson",0.000293777101151092
"513","Marcus Smart",0.000292472863689839
"224","Gary Harris",0.000292392619208519
"440","Tony Parker",0.000291437264896534
